"vehiculo_id","numero_economico","unidad_descripcion","dependencia","tipo_movimiento","concepto","descripcion","refacciones","taller_ambito","taller_nombre","fecha_ingreso","fecha_salida","estatus","estatus_cotizacion","monto_cotizacion"
"0bd89fd5-3dc3-4bf3-9725-0689b263ef28","E-162","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","reductor, balanceo, blowewr,abanico a/c, mando de accesorios, bomba de vacio y coolan, vcu, pdu, ajuste de volante, boton de encendido","","Interno","Taller interno","2025-04-16","","En curso","No requerida",""
"13e88643-4c40-4388-a6f0-ec1ef67ce01b","E-251","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","presenta 21 celdas desbalanceadas, se encuentra en espera PDU, perdida de potencia","","Interno","Taller interno","2025-09-01","","En curso","No requerida",""
"29fd92f1-073a-4327-ab45-9f8511167406","E-148","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Falla en 4s","Blokeada","","Foráneo","Taller Jac","2025-09-05","","En curso","No requerida",""
"5ffa0510-de0a-44b7-9a2b-7ad9dc0bfc83","E-161","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Falla en 4s","VCU, BOMBA DE VACIO, BOMBAS DE COOLANT, nucleo reventado","","Interno","Taller interno","2025-10-08","","En curso","No requerida",""
"646748e1-3bfa-4c08-8478-5e6f7b25fbd5","E-182","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","4S CON DESBALANCEO, VCU, 60 CELDAS DESBALANCEADAS","","Interno","Taller interno","2025-10-10","","En curso","No requerida",""
"5876ec0c-3e07-4016-9cd7-87c3584034c2","E-265","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","BMS","POSIBLE INSULATION, GETWAY","","Interno","Taller interno","2025-10-21","","En curso","No requerida",""
"3dc934eb-af60-45ba-89c7-7ce05b6c830c","E-150","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Insulation","","","Interno","Taller interno","2025-10-27","","En curso","No requerida",""
"1b5cabeb-bd79-4f60-bd46-3c52da99b4cc","E-289","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","PRESENTA 5 CELDAS DESBALANCEADAS, PDU","","Interno","Taller interno","2025-10-29","","En curso","No requerida",""
"08e596bc-b334-4a63-8845-0902e4a3000c","E-126","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","PRESENTA 1 CELDAS DESBALANCEADAS, EN PROCESO DE BALANCEO, PDU","","Interno","Taller interno","2025-01-29","","En curso","No requerida",""
"bdeae8a5-a71e-4beb-9529-b3056c9689df","E-404","GML E40X","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","Falla en controladores de motor","","Foráneo","Taller Jac Integra","2025-01-04","","En curso","No requerida",""
"d27af914-8003-457a-aab4-04334eb1f108","E-247","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Reemplazo de Reductor","REDUCTOR, FALLA 4S","","Interno","Taller interno","2025-12-22","","En curso","No requerida",""
"9c4d0f54-8af2-4135-990d-85795e61657b","E-179","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Falla en 4s","Para baja","","Interno","Taller interno","2026-01-21","","En curso","No requerida",""
"76a5042e-ef3e-4893-b6b5-a9e0625a1619","E-354","EFRISON T8","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","Perdida de potencia","","Foráneo","Taller Jac","2026-01-29","","En curso","No requerida",""
"2abc9f8c-3703-47af-aad5-d0e9a6b3e218","E-278","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Reemplazo de Reductor","Presenta falla en 4s","","Interno","Taller interno","2026-02-03","","En curso","No requerida",""
"2f248715-7dda-495e-821e-92978bcb07ec","E-322","DOLPHIN MINI EV ","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","","","Foráneo","Taller ByD","2026-02-05","","En curso","No requerida",""
"613b1004-ea54-4af0-bd58-ff33e38f77e7","E-333","DOLPHIN MINI EV ","SEGURIDAD PÚBLICA","Preventivo","Servicio Preventivo","SERVICO PREVENTIVO DE LOPS 45000 KM SUSPENSIÓN Y FRENOS","","Foráneo","Taller ByD","2026-02-06","","En curso","No requerida",""
"5cb144c1-7f1a-4bec-bd80-0a326842264a","E-335","DOLPHIN MINI EV ","SEGURIDAD PÚBLICA","Correctivo","Perdida de potencia","","","Foráneo","Taller ByD","2026-02-07","","En curso","No requerida",""
"1ad27d4a-d744-4e96-9fbd-c969d4412a4f","E-325","DOLPHIN MINI EV ","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","","","Foráneo","Taller ByD","2026-02-10","","En curso","No requerida",""
"7517f040-69a1-4b74-84fd-1b15cd2b3acb","E-221","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","VCU","BOTON DE DAÑADO Y PROGRAMACIÓN","","Foráneo","Taller Jac","2026-02-16","","En curso","No requerida",""
"10ae4f83-bfd9-475e-b4c9-2ba2cc41c9e0","E-209","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Falla Eléctrica","corto en cable de alto voltaje, PDU, VCU Y BOMBAS","","Foráneo","Taller Jac","2026-02-17","","En curso","No requerida",""
"9528df58-e551-410f-a134-4bd263ea1855","E-439","EFRISON T8","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Reductor","no enciende · en proceso de diagnostico","","Foráneo","Taller Jac  ","2026-02-27","","En curso","No requerida",""
"dbd09bd8-9f17-486f-aef8-5bf7d878f3f1","E-285","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","","","Interno","Taller interno","2026-03-04","","En curso","No requerida",""
"8a6e0522-72ca-4c08-878e-ae1e7ae59f5e","E-305","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","","","Interno","Taller interno","2026-03-04","","En curso","No requerida",""
"6a0d4276-fb6c-4764-932f-2959b6789199","E-308","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Diagnostico","Se apago al 75 %","","Interno","Taller Interno","2026-03-04","","En curso","No requerida",""
"55fcdc10-6884-4cf8-a853-ede60441b439","E-339","EJ7","SEGURIDAD PÚBLICA","Correctivo","Falla en 4S","Acumulador 12 voltios","","Foráneo","Taller Jac","2026-03-13","","En curso","No requerida",""
"1d4a3ee6-14a8-4f0b-a359-46c815399424","4455","SHARK DM-O BASICO","DEPARTAMENTO DE BOMBERAS Y BOMBEROS","Preventivo","Servicio Preventivo","Revisar contaminación con agua el reductor","","Foráneo","Taller ByD","2026-03-18","","En curso","No requerida",""
"f5cd9cc1-31c8-4119-b346-96510c373423","E-304","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Balanceo de Celdas","","","Interno","Taller interno","2026-03-23","","En curso","No requerida",""
"51d1cba8-d5f5-4fe5-9b6c-d7dad8f8e11d","E-105","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","","","Foráneo","Taller Isac Bejarano","2026-03-31","","En curso","No requerida",""
"4a59e31e-d746-4055-bd3b-3e8f8eb8cca0","E-183","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Reemplazo de Reductor","","","Interno","Taller Interno","2026-04-07","","En curso","No requerida",""
"c758913c-207d-48a0-9666-8765341d2521","E-187","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","Posible garantia","","Foráneo","Taller del Valle","2026-04-07","","En curso","No requerida",""
"f874e227-602a-43f5-a98f-fa46dbb5fd44","E-130","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","","","Foráneo","Taller Dilop","2026-04-09","","En curso","No requerida",""
"ed26c179-da17-49f4-9a74-5604feba61e5","E-120","ESEI 4","SEGURIDAD PÚBLICA","Correctivo","Suspensión y Frenos","cremallera","","Foráneo","Taller del Valle","2026-04-09","","En curso","No requerida",""
"beffb014-2a09-47fd-9e37-ea1d9ef8a0df","E-027","E10X","TESORERÍA","Correctivo","Balanceo de Celdas","11 celdas con desbalanceo","","Interno","Taller interno","2026-04-09","","En curso","No requerida",""
