"numero_economico_origen","vehiculo_id","campo_coincidente","numero_economico_parque","numero_inventario_parque","unidad_patrulla_parque"
"E-162","0bd89fd5-3dc3-4bf3-9725-0689b263ef28","unidad_patrulla","4361","VH0100004361","E-162"
"E-251","13e88643-4c40-4388-a6f0-ec1ef67ce01b","unidad_patrulla","4349","VH0100004349","E-251"
"E-148","29fd92f1-073a-4327-ab45-9f8511167406","unidad_patrulla","4262","VH0100004262","E-148"
"E-161","5ffa0510-de0a-44b7-9a2b-7ad9dc0bfc83","unidad_patrulla","4411","VH0100004411","E-161"
"E-182","646748e1-3bfa-4c08-8478-5e6f7b25fbd5","unidad_patrulla","4300","VH0100004300","E-182"
"E-265","5876ec0c-3e07-4016-9cd7-87c3584034c2","unidad_patrulla","4375","VH0100004375","E-265"
"E-150","3dc934eb-af60-45ba-89c7-7ce05b6c830c","unidad_patrulla","4263","VH0100004263","E-150"
"E-289","1b5cabeb-bd79-4f60-bd46-3c52da99b4cc","unidad_patrulla","4283","VH0100004283","E-289"
"E-126","08e596bc-b334-4a63-8845-0902e4a3000c","unidad_patrulla","4257","VH0100004257","E-126"
"E-404","bdeae8a5-a71e-4beb-9529-b3056c9689df","unidad_patrulla","4532","VH0100004532"," E-404"
"E-247","d27af914-8003-457a-aab4-04334eb1f108","unidad_patrulla","4365","VH0100004365","E-247"
"E-179","9c4d0f54-8af2-4135-990d-85795e61657b","unidad_patrulla","4292","VH0100004292","E-179"
"E-354","76a5042e-ef3e-4893-b6b5-a9e0625a1619","unidad_patrulla","4434","VH0100004434","E-354"
"E-278","2abc9f8c-3703-47af-aad5-d0e9a6b3e218","unidad_patrulla","4282","VH0100004282","E-278"
"E-322","2f248715-7dda-495e-821e-92978bcb07ec","unidad_patrulla","4193","VH0100004193","E-322"
"E-333","613b1004-ea54-4af0-bd58-ff33e38f77e7","unidad_patrulla","4198","VH0100004198","E-333"
"E-335","5cb144c1-7f1a-4bec-bd80-0a326842264a","unidad_patrulla","4201","VH0100004201","E-335"
"E-325","1ad27d4a-d744-4e96-9fbd-c969d4412a4f","unidad_patrulla","4210","VH0100004210","E-325"
"E-221","7517f040-69a1-4b74-84fd-1b15cd2b3acb","unidad_patrulla","4271","VH0100004271","E-221"
"E-209","10ae4f83-bfd9-475e-b4c9-2ba2cc41c9e0","unidad_patrulla","4267","VH0100004267","E-209"
"E-439","9528df58-e551-410f-a134-4bd263ea1855","unidad_patrulla","4587","VH0100004587","E-439"
"E-285","dbd09bd8-9f17-486f-aef8-5bf7d878f3f1","unidad_patrulla","4272","VH0100004272","E-285"
"E-305","8a6e0522-72ca-4c08-878e-ae1e7ae59f5e","unidad_patrulla","4293","VH0100004293","E-305"
"E-308","6a0d4276-fb6c-4764-932f-2959b6789199","unidad_patrulla","4309","VH0100004309","E-308"
"E-339","55fcdc10-6884-4cf8-a853-ede60441b439","unidad_patrulla","4448","VH0100004448","E-339"
"4455","1d4a3ee6-14a8-4f0b-a359-46c815399424","numero_economico","4455","VH0100004455","-"
"E-304","f5cd9cc1-31c8-4119-b346-96510c373423","unidad_patrulla","4291","VH0100004291","E-304"
"E-105","51d1cba8-d5f5-4fe5-9b6c-d7dad8f8e11d","unidad_patrulla","4230","VH0100004230","E-105"
"E-183","4a59e31e-d746-4055-bd3b-3e8f8eb8cca0","unidad_patrulla","4303","VH0100004303","E-183"
"E-187","c758913c-207d-48a0-9666-8765341d2521","unidad_patrulla","4310","VH0100004310","E-187"
"E-130","f874e227-602a-43f5-a98f-fa46dbb5fd44","unidad_patrulla","4254","VH0100004254","E-130"
"E-120","ed26c179-da17-49f4-9a74-5604feba61e5","unidad_patrulla","4236","VH0100004236","E-120"
"E-027","beffb014-2a09-47fd-9e37-ea1d9ef8a0df","unidad_patrulla","4167","VH0100004167","E-027"
